Perfil;RPM;56;60;63;67;71;75;80;85;90;95;100;106;112;118;125;132;140;150;160;170;180;190;200;212;224;236;250;265;280;300;315;335;355;375;400;425;450;475;;;;;;
SPA;2500;;;;;;;;;3.28;3.82;4.77;5.48;6.18;6.87;7.67;8.46;9.34;10.41;11.46;12.47;13.46;14.41;15.32;;;;;;;;;;;;;;;;;;;;;
SPA;2900;;;;;;;;;3.58;4.19;5.26;6.06;6.84;7.61;8.50;9.36;10.32;11.49;12.61;13.69;14.72;15.70;16.63;;;;;;;;;;;;;;;;;;;;;
SPA;3000;;;;;;;;;3.65;4.28;5.38;6.19;7.00;7.78;8.68;9.57;10.54;11.73;12.86;13.95;14.99;15.97;16.89;;;;;;;;;;;;;;;;;;;;;
SPA;3500;;;;;;;;;3.96;4.68;5.88;6.79;7.67;8.53;9.51;10.46;11.51;12.75;13.92;15.01;16.03;16.96;17.81;;;;;;;;;;;;;;;;;;;;;
SPA;3600;;;;;;;;;4.02;4.76;5.97;6.89;7.79;8.66;9.66;10.61;11.67;12.91;14.08;15.17;16.17;17.09;17.90;;;;;;;;;;;;;;;;;;;;;
SPA;4000;;;;;;;;;4.24;5.04;6.28;7.25;8.20;9.11;10.14;11.12;12.19;13.44;14.58;15.61;16.52;17.32;17.98;;;;;;;;;;;;;;;;;;;;;
SPA;4600;;;;;;;;;;5.43;6.59;7.62;8.61;9.55;10.60;11.58;12.61;13.78;14.78;15.62;16.29;;;;;;;;;;;;;;;;;;;;;;;
SPA;5000;;;;;;;;;;6.69;7.74;8.74;9.68;10.71;11.65;12.63;13.67;14.53;15.17;;;;;;;;;;;;;;;;;;;;;;;;;
SPB;100;;;;;;;;;;;;;;;;;0.74;0.84;0.94;1.04;1.14;1.24;1.33;1.45;1.57;1.69;1.82;1.97;2.11;;;;;;;;;;;;;;;
SPB;200;;;;;;;;;;;;;;;;;1.35;1.54;1.73;1.92;2.11;2.30;2.49;2.71;2.93;3.16;3.41;3.69;3.96;;;;;;;;;;;;;;;
SPB;500;;;;;;;;;;;;;;;;;2.95;3.39;3.84;4.28;4.72;5.16;5.59;6.12;6.63;7.15;7.74;8.38;9.01;;;;;;;;;;;;;;;
SPB;700;;;;;;;;;;;;;;;;;3.90;4.51;5.11;5.71;6.31;6.90;7.49;8.19;8.89;9.59;10.39;11.25;12.09;;;;;;;;;;;;;;;
SPB;900;;;;;;;;;;;;;;;;;4.79;5.55;6.30;7.06;7.80;8.52;9.28;10.15;11.02;11.88;12.88;13.93;14.97;;;;;;;;;;;;;;;
SPB;1000;;;;;;;;;;;;;;;;;5.21;6.04;6.88;7.70;8.52;9.33;10.13;11.09;12.04;12.98;14.06;15.21;16.34;;;;;;;;;;;;;;;
SPB;1400;;;;;;;;;;;;;;;;;6.77;7.89;8.99;10.09;11.17;12.24;13.29;14.54;15.78;16.99;18.38;19.83;21.26;;;;;;;;;;;;;;;
SPB;1500;;;;;;;;;;;;;;;;;7.12;8.31;9.48;10.64;11.78;12.91;14.02;15.33;16.63;17.90;19.35;20.86;22.34;;;;;;;;;;;;;;;
SPB;1700;;;;;;;;;;;;;;;;;7.80;9.12;10.41;11.68;12.94;14.17;15.39;16.82;18.22;19.59;21.14;22.76;24.32;;;;;;;;;;;;;;;
SPB;1800;;;;;;;;;;;;;;;;;8.12;9.50;10.85;12.18;13.48;14.77;16.03;17.51;18.96;20.37;21.97;23.62;25.21;;;;;;;;;;;;;;;
SPB;2000;;;;;;;;;;;;;;;;;8.73;10.21;11.67;13.11;14.51;15.88;17.22;18.79;20.32;21.79;23.45;25.15;26.77;;;;;;;;;;;;;;;
SPB;2500;;;;;;;;;;;;;;;;;10.00;11.74;13.42;15.05;16.64;18.17;19.65;21.35;22.96;24.49;26.15;27.79;;;;;;;;;;;;;;;;
SPB;2900;;;;;;;;;;;;;;;;;10.77;12.65;14.46;16.20;17.86;19.44;20.94;22.63;24.20;;;;;;;;;;;;;;;;;;;
SPB;3000;;;;;;;;;;;;;;;;;10.93;12.83;14.66;16.42;18.09;19.67;21.17;22.84;;;;;;;;;;;;;;;;;;;;
SPB;3500;;;;;;;;;;;;;;;;;11.45;13.46;15.35;17.12;18.77;20.28;;;;;;;;;;;;;;;;;;;;;;
SPB;3600;;;;;;;;;;;;;;;;;11.51;13.52;15.41;17.18;18.80;;;;;;;;;;;;;;;;;;;;;;;
SPC;100;;;;;;;;;;;;;;;;;;;;;;;;;2.32;2.53;2.78;3.05;3.31;3.66;3.92;4.26;4.61;4.95;5.38;5.80;6.23;6.65;;;;;;
SPC;150;;;;;;;;;;;;;;;;;;;;;;;;;3.30;3.61;3.97;4.36;4.74;5.25;5.63;6.13;6.63;7.13;7.75;8.36;8.98;9.59;;;;;;
SPC;200;;;;;;;;;;;;;;;;;;;;;;;;;4.24;4.64;5.11;5.61;6.11;6.77;7.26;7.92;8.57;9.22;10.02;10.83;11.62;12.41;;;;;;
SPC;300;;;;;;;;;;;;;;;;;;;;;;;;;6.00;6.59;7.27;7.99;8.71;9.67;10.38;11.33;12.27;13.20;14.37;15.52;16.67;17.80;;;;;;
SPC;400;;;;;;;;;;;;;;;;;;;;;;;;;7.65;8.41;9.30;10.24;11.17;12.41;13.34;14.56;15.78;16.98;18.48;19.96;21.44;22.90;;;;;;
SPC;600;;;;;;;;;;;;;;;;;;;;;;;;;10.71;11.81;13.08;14.42;15.76;17.53;18.85;20.58;22.31;24.01;26.11;28.19;30.25;32.27;;;;;;
SPC;700;;;;;;;;;;;;;;;;;;;;;;;;;12.14;13.39;14.84;16.38;17.91;19.92;21.42;23.39;25.34;27.27;29.65;31.98;34.28;36.54;;;;;;
SPC;750;;;;;;;;;;;;;;;;;;;;;;;;;12.83;14.16;15.70;17.33;18.95;21.08;22.66;24.75;26.81;28.84;31.34;33.79;36.20;38.57;;;;;;
SPC;900;;;;;;;;;;;;;;;;;;;;;;;;;14.81;16.36;18.15;20.05;21.92;24.39;26.21;28.61;30.96;33.28;36.11;38.87;41.57;44.19;;;;;;
SPC;1000;;;;;;;;;;;;;;;;;;;;;;;;;16.06;17.74;19.69;21.75;23.79;26.45;28.42;31.00;33.53;36.01;39.02;41.95;44.78;47.52;;;;;;
SPC;1400;;;;;;;;;;;;;;;;;;;;;;;;;20.43;22.60;25.09;27.70;30.25;33.56;35.96;39.06;42.04;44.89;48.27;51.44;54.37;57.07;;;;;;
SPC;1500;;;;;;;;;;;;;;;;;;;;;;;;;21.37;23.64;26.24;28.96;31.61;35.02;37.49;40.66;43.68;46.55;49.92;53.02;;;;;;;;
SPC;1700;;;;;;;;;;;;;;;;;;;;;;;;;23.04;25.49;28.28;31.17;33.96;37.52;40.07;43.29;46.31;49.11;;;;;;;;;;
SPC;1800;;;;;;;;;;;;;;;;;;;;;;;;;23.78;26.30;29.16;32.12;34.96;38.56;41.11;44.32;47.28;;;;;;;;;;;
SPC;2000;;;;;;;;;;;;;;;;;;;;;;;;;25.03;27.67;30.64;33.67;36.56;40.15;42.65;;;;;;;;;;;;;
SPC;2500;;;;;;;;;;;;;;;;;;;;;;;;;26.79;29.52;32.48;35.40;;;;;;;;;;;;;;;;
