TIPO_CADENA;CODIGO_CADENA;PASO_P_MM;DIAM_RODILLO_A_MM;DIST_PLACAS_INT_B_MM;DIAM_PERNO_C_MM;LONG_PIN_D_MM;ALTURA_PLACAS_F_MM;ESPESOR_PLACAS_G_MM;MIN_RADIO_ARCO_R_MM;RESIST_MIN_TRACCION_KN;PESO_KG_M
SIMPLEX;40SB;12,700;7,95;7,85;3,98;16,9;11,7;1,50;350;11,00;0,80
SIMPLEX;50SB;15,875;10,16;9,40;5,08;20,7;14,9;2,03;400;20,00;1,09
SIMPLEX;60SB;19,050;11,91;12,57;5,94;26,6;18,0;2,42;500;28,00;1,54
SIMPLEX;80SB;25,400;15,88;15,75;7,92;34,0;24,0;3,25;711;39,00;2,60
SIMPLEX;C2050SB;31,750;10,16;9,40;5,08;21,3;15,0;2,03;800;20,50;0,84
