TIPO_CADENA;CODIGO_ANSI;PASO_P_MM;DIAM_RODILLO_A_MM;DIST_PLACAS_INT_B_MM;DIAM_PERNO_C_MM;LONG_PERNO_D_MM;LONG_PERNO_E_MM;ALTURA_PLACA_INT_F_MM;ANCHO_PLACA_G_MM;RESIST_MIN_TRACCION_KN;RESIST_MED_TRACCION_KN;PESO_KG_M
SIMPLEX;*25NP;6,350;3,30;3,18;2,31;7,90;8,40;6,00;0,80;3,50;4,60;0,15
SIMPLEX;*35NP;9,525;5,08;4,77;3,58;12,40;13,17;9,00;1,30;7,90;10,80;0,33
SIMPLEX;41NP;12,700;7,77;6,25;3,58;13,75;15,00;9,91;1,30;6,67;12,60;0,41
SIMPLEX;40NP;12,700;7,95;7,85;3,96;16,60;17,80;12,00;1,50;14,10;17,50;0,62
SIMPLEX;50NP;15,875;10,16;9,40;5,08;20,70;22,20;15,09;2,03;22,20;29,40;1,02
SIMPLEX;60NP;19,050;11,91;12,57;5,94;25,90;27,70;18,00;2,42;31,80;41,50;1,50
SIMPLEX;80NP;25,400;15,88;15,75;7,92;32,70;35,00;24,00;3,25;56,70;69,40;2,60
SIMPLEX;100NP;31,750;19,05;18,90;9,53;40,40;44,70;30,00;4,00;88,50;109,20;3,91
