TIPO_CADENA;CODIGO_ANSI;PASO_P_MM;DIAM_RODILLO_A_MM;DIST_PLACAS_INT_B_MM;DIAM_PERNO_C_MM;LONG_PERNO_D_MM;LONG_PERNO_E_MM;ALTURA_PLACA_INT_F_MM;ANCHO_PLACA_G_MM;RESIST_MIN_TRACCION_KN;RESIST_MED_TRACCION_KN;PESO_KG_M
SIMPLEX;*35SS;9,525;5,08;4,77;3,58;12,40;13,17;9,00;1,30;5,50;6,60;0,33
SIMPLEX;40SS;12,700;7,95;7,85;3,96;16,60;17,80;12,00;1,50;9,60;10,80;0,63
SIMPLEX;50SS;15,875;10,16;9,40;5,08;20,70;22,20;15,09;2,03;15,20;17,20;1,03
SIMPLEX;60SS;19,050;11,91;12,57;5,94;25,90;27,70;18,00;2,42;21,70;26,40;1,51
SIMPLEX;80SS;25,400;15,88;15,75;7,92;32,70;35,00;24,00;3,25;38,90;46,60;2,62
SIMPLEX;100SS;31,750;19,05;18,90;9,53;40,40;44,70;30,00;4,00;60,00;70,20;3,94
